,Unnamed: 0,District,Name of Building,End Date of HomeQuarantine
7,80.0,Yuen Long,"Tsz Ping House, Tin Tsz Estate",09/02/2020
8,81.0,Yau Tsim Mong,"Lizhi Hall, The Hong Kong PolytechnicUniversity",09/02/2020
9,82.0,Yuen Long,"Wing Fu House, Tin Fu Court",09/02/2020
10,83.0,Southern,"Lei Tim House, Ap Lei Chau Estate",09/02/2020
11,84.0,Tsuen Wan,"Fu Tak House, Tai Wo Hau Estate",09/02/2020
12,85.0,Yau Tsim Mong,"Block 1, Victoria Towers",09/02/2020
13,86.0,Yau Tsim Mong,69 Bute Street,10/02/2020
14,87.0,North,"Block A, Fanling Centre",10/02/2020
15,88.0,Yuen Long,"Yuet Ping House, Long Ping Estate",11/02/2020
16,89.0,Tuen Mun,"Block A, New Town Mansion",11/02/2020
17,90.0,Sham Shui Po,"Choi Lan House, 259 Yu Chau Street",12/02/2020
18,91.0,Tuen Mun,"Tip Ling House, Butterfly Estate",12/02/2020
19,92.0,Yuen Long,"Block 5, Sherwood Court, Kingswood Villas",13/02/2020
20,93.0,Kwun Tong,"Ping Shing House, Ping Tin Estate",13/02/2020
21,94.0,North,15 Po Sheung Tsuen,13/02/2020
22,95.0,Sha Tin,"Block 5, Jubilee Garden",13/02/2020
23,96.0,Sha Tin,"Tower 5, Phase 2 Festival City",13/02/2020
24,97.0,North,"Block 11, Dawning Views",13/02/2020
25,98.0,Sham Shui Po,"Wing On Building, 286 Fuk Wah Street",13/02/2020
0,99.0,Sha Tin,"Kwong Ning Building, Shatin Centre",14/02/2020
1,100.0,Wong Tai Sin,"Pik Fung House, Fung Tak Estate",16/02/2020
2,101.0,Kwai Tsing,"Kwai Chung Building, 10-30 Shek PuiStreet",18/02/2020
